"model","iterations","Parameter","metric","species","value"
"naive",20,"beta0","Bias","1","1.54126488172728"
"VSE",20,"beta0","Bias","1","0.430732437666081"
"Detect",20,"beta0","Bias","1","2.90137889626166"
"VSEDetect",20,"beta0","Bias","1","3.81131013260674"
"VSEDetectMisclass",20,"beta0","Bias","1","-3.10630921926009"
"naive",21,"beta0","Bias","1","-0.866873050154839"
"VSE",21,"beta0","Bias","1","2.71715612603555"
"Detect",21,"beta0","Bias","1","2.55787733413704"
"VSEDetect",21,"beta0","Bias","1","4.50026487052664"
"VSEDetectMisclass",21,"beta0","Bias","1","-1.43423067296123"
"naive",22,"beta0","Bias","1","-2.8119412893581"
"VSE",22,"beta0","Bias","1","4.26486469773159"
"Detect",22,"beta0","Bias","1","-1.20782071259502"
"VSEDetect",22,"beta0","Bias","1","3.85445267350077"
"VSEDetectMisclass",22,"beta0","Bias","1","1.03499041689551"
"naive",23,"beta0","Bias","1","5.97320871341542"
"VSE",23,"beta0","Bias","1","2.70355022577947"
"Detect",23,"beta0","Bias","1","2.57775781777284"
"VSEDetect",23,"beta0","Bias","1","4.49197430094181"
"VSEDetectMisclass",23,"beta0","Bias","1","1.89017047213758"
"naive",24,"beta0","Bias","1","-16.5726937953997"
"VSE",24,"beta0","Bias","1","3.43734958875527"
"Detect",24,"beta0","Bias","1","2.89511368597399"
"VSEDetect",24,"beta0","Bias","1","4.50343497583345"
"VSEDetectMisclass",24,"beta0","Bias","1","-3.71363003379138"
"naive",25,"beta0","Bias","1","-4.33961881184025"
"VSE",25,"beta0","Bias","1","3.42095708020216"
"Detect",25,"beta0","Bias","1","2.8944769535734"
"VSEDetect",25,"beta0","Bias","1","4.50264139534988"
"VSEDetectMisclass",25,"beta0","Bias","1","0.0555098456957143"
"naive",26,"beta0","Bias","1","-1.29228525275681"
"VSE",26,"beta0","Bias","1","4.26262431769968"
"Detect",26,"beta0","Bias","1","0.500605668198855"
"VSEDetect",26,"beta0","Bias","1","3.90193407601834"
"VSEDetectMisclass",26,"beta0","Bias","1","0.0364696269116689"
"naive",27,"beta0","Bias","1","-1.71939528411557"
"VSE",27,"beta0","Bias","1","3.41896901877839"
"Detect",27,"beta0","Bias","1","2.60830268907486"
"VSEDetect",27,"beta0","Bias","1","3.89472934262432"
"VSEDetectMisclass",27,"beta0","Bias","1","-1.61140295785699"
"naive",28,"beta0","Bias","1","-1.93052594334256"
"VSE",28,"beta0","Bias","1","3.38891264929758"
"Detect",28,"beta0","Bias","1","0.517413736396425"
"VSEDetect",28,"beta0","Bias","1","3.81556162800103"
"VSEDetectMisclass",28,"beta0","Bias","1","2.19348556862572"
"naive",29,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSE",29,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"Detect",29,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetect",29,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetectMisclass",29,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"naive",30,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSE",30,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"Detect",30,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetect",30,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetectMisclass",30,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"naive",31,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSE",31,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"Detect",31,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetect",31,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetectMisclass",31,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"naive",32,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSE",32,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"Detect",32,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetect",32,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetectMisclass",32,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"naive",33,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSE",33,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"Detect",33,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetect",33,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetectMisclass",33,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"naive",34,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSE",34,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"Detect",34,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetect",34,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetectMisclass",34,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"naive",35,"beta0","Bias","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSE",35,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"Detect",35,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetect",35,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetectMisclass",35,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"naive",36,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSE",36,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"Detect",36,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetect",36,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetectMisclass",36,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"naive",37,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSE",37,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"Detect",37,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetect",37,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetectMisclass",37,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"naive",38,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSE",38,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"Detect",38,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetect",38,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetectMisclass",38,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"naive",39,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSE",39,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"Detect",39,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetect",39,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetectMisclass",39,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"naive",40,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSE",40,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"Detect",40,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetect",40,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetectMisclass",40,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"naive",41,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSE",41,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"Detect",41,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetect",41,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetectMisclass",41,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"naive",42,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSE",42,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"Detect",42,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetect",42,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetectMisclass",42,"beta0","Bias","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"naive",1,"beta0","Bias","2","-2.79332463372679"
"VSE",1,"beta0","Bias","2","-1.13414087684824"
"Detect",1,"beta0","Bias","2","-1.53017982453727"
"VSEDetect",1,"beta0","Bias","2","5.84438993358528"
"VSEDetectMisclass",1,"beta0","Bias","2","0.133712616720333"
"naive",2,"beta0","Bias","2","-3.44279018958986"
"VSE",2,"beta0","Bias","2","-1.46207174648007"
"Detect",2,"beta0","Bias","2","-2.70386831833415"
"VSEDetect",2,"beta0","Bias","2","3.47486202567438"
"VSEDetectMisclass",2,"beta0","Bias","2","-0.621536603757761"
"naive",3,"beta0","Bias","2","-3.32493514469789"
"VSE",3,"beta0","Bias","2","-0.995575510300367"
"Detect",3,"beta0","Bias","2","-2.89899229664508"
"VSEDetect",3,"beta0","Bias","2","2.74642215256955"
"VSEDetectMisclass",3,"beta0","Bias","2","-0.532583853394028"
"naive",4,"beta0","Bias","2","-0.528328085447739"
"VSE",4,"beta0","Bias","2","0.781240841016549"
"Detect",4,"beta0","Bias","2","-0.417249671685357"
"VSEDetect",4,"beta0","Bias","2","3.43740916189702"
"VSEDetectMisclass",4,"beta0","Bias","2","1.1894774260848"
"naive",5,"beta0","Bias","2","-3.12044333663205"
"VSE",5,"beta0","Bias","2","-1.14478481704059"
"Detect",5,"beta0","Bias","2","-2.38062893740776"
"VSEDetect",5,"beta0","Bias","2","3.46559661864548"
"VSEDetectMisclass",5,"beta0","Bias","2","0.328581014807505"
"naive",6,"beta0","Bias","2","-1.73717335781231"
"VSE",6,"beta0","Bias","2","-0.229372983599162"
"Detect",6,"beta0","Bias","2","-1.0903849766812"
"VSEDetect",6,"beta0","Bias","2","3.47613483410932"
"VSEDetectMisclass",6,"beta0","Bias","2","1.02665988188155"
"naive",7,"beta0","Bias","2","-2.51503993224585"
"VSE",7,"beta0","Bias","2","-0.924257171490647"
"Detect",7,"beta0","Bias","2","-226.061520459699"
"VSEDetect",7,"beta0","Bias","2","2.74537927078632"
"VSEDetectMisclass",7,"beta0","Bias","2","0.279989208420302"
"naive",8,"beta0","Bias","2","-3.96483533901403"
"VSE",8,"beta0","Bias","2","-1.7416142962712"
"Detect",8,"beta0","Bias","2","-3.06035211021757"
"VSEDetect",8,"beta0","Bias","2","3.44460325730336"
"VSEDetectMisclass",8,"beta0","Bias","2","3.1208844932945"
"naive",9,"beta0","Bias","2","-3.57177317908132"
"VSE",9,"beta0","Bias","2","-1.93125454205597"
"Detect",9,"beta0","Bias","2","-2.91391866347902"
"VSEDetect",9,"beta0","Bias","2","2.67363297163663"
"VSEDetectMisclass",9,"beta0","Bias","2","0.468711914509576"
"naive",10,"beta0","Bias","2","-4.62807043615321"
"VSE",10,"beta0","Bias","2","-2.45042715674752"
"Detect",10,"beta0","Bias","2","-3.78530955890535"
"VSEDetect",10,"beta0","Bias","2","3.45459997271888"
"VSEDetectMisclass",10,"beta0","Bias","2","1.56602774961422"
"naive",11,"beta0","Bias","2","-2.84971769463328"
"VSE",11,"beta0","Bias","2","-1.16783028250826"
"Detect",11,"beta0","Bias","2","-2.38782486292889"
"VSEDetect",11,"beta0","Bias","2","2.69354573048224"
"VSEDetectMisclass",11,"beta0","Bias","2","0.659413715081764"
"naive",12,"beta0","Bias","2","-2.00237316375946"
"VSE",12,"beta0","Bias","2","-0.40698437811257"
"Detect",12,"beta0","Bias","2","-1.34815784542072"
"VSEDetect",12,"beta0","Bias","2","3.46900297661323"
"VSEDetectMisclass",12,"beta0","Bias","2","-1.44156761861278"
"naive",13,"beta0","Bias","2","-1.91536298433183"
"VSE",13,"beta0","Bias","2","-0.351266053739223"
"Detect",13,"beta0","Bias","2","-1.56910260355704"
"VSEDetect",13,"beta0","Bias","2","2.72779740941105"
"VSEDetectMisclass",13,"beta0","Bias","2","-0.54696390722924"
"naive",14,"beta0","Bias","2","-3.80280528460452"
"VSE",14,"beta0","Bias","2","-1.04150016529632"
"Detect",14,"beta0","Bias","2","-3.38598358703744"
"VSEDetect",14,"beta0","Bias","2","2.71679165742491"
"VSEDetectMisclass",14,"beta0","Bias","2","-0.555438878322901"
"naive",15,"beta0","Bias","2","-2.37811013780704"
"VSE",15,"beta0","Bias","2","-0.623748552644363"
"Detect",15,"beta0","Bias","2","-1.96719311618196"
"VSEDetect",15,"beta0","Bias","2","3.43504335598765"
"VSEDetectMisclass",15,"beta0","Bias","2","0.339865651654059"
"naive",16,"beta0","Bias","2","-1.86401044142545"
"VSE",16,"beta0","Bias","2","-0.033800834252528"
"Detect",16,"beta0","Bias","2","-1.15989434520464"
"VSEDetect",16,"beta0","Bias","2","3.46743513502575"
"VSEDetectMisclass",16,"beta0","Bias","2","2.46457402402982"
"naive",17,"beta0","Bias","2","-2.99695221271414"
"VSE",17,"beta0","Bias","2","-0.200830920627525"
"Detect",17,"beta0","Bias","2","-2.53511972912489"
"VSEDetect",17,"beta0","Bias","2","2.7632602616985"
"VSEDetectMisclass",17,"beta0","Bias","2","-4.38811136598713"
"naive",18,"beta0","Bias","2","-1.23026246673156"
"VSE",18,"beta0","Bias","2","0.258144622615614"
"Detect",18,"beta0","Bias","2","-1.14765116809386"
"VSEDetect",18,"beta0","Bias","2","2.79041230096887"
"VSEDetectMisclass",18,"beta0","Bias","2","-0.0404591312509554"
"naive",19,"beta0","Bias","2","-2.2280296811131"
"VSE",19,"beta0","Bias","2","-0.65502062493589"
"Detect",19,"beta0","Bias","2","-1.64922594280587"
"VSEDetect",19,"beta0","Bias","2","2.66905477384433"
"VSEDetectMisclass",19,"beta0","Bias","2","2.3685349231162"
"naive",20,"beta0","Bias","2","-2703.24949800756"
"VSE",20,"beta0","Bias","2","-3.24529262237673"
"Detect",20,"beta0","Bias","2","1.88199869268683"
"VSEDetect",20,"beta0","Bias","2","2.77310200593059"
"VSEDetectMisclass",20,"beta0","Bias","2","-0.607892370304552"
"naive",21,"beta0","Bias","2","-0.94642863209702"
"VSE",21,"beta0","Bias","2","1.70498742212589"
"Detect",21,"beta0","Bias","2","1.51911603617267"
"VSEDetect",21,"beta0","Bias","2","3.48102290632129"
"VSEDetectMisclass",21,"beta0","Bias","2","1.77561224478158"
"naive",22,"beta0","Bias","2","-2.22014246594753"
"VSE",22,"beta0","Bias","2","3.25809329715892"
"Detect",22,"beta0","Bias","2","-2.36254245284115"
"VSEDetect",22,"beta0","Bias","2","2.72387323055083"
"VSEDetectMisclass",22,"beta0","Bias","2","1.21727409443687"
"naive",23,"beta0","Bias","2","-22.2935228642197"
"VSE",23,"beta0","Bias","2","1.71081644270453"
"Detect",23,"beta0","Bias","2","1.52254775032458"
"VSEDetect",23,"beta0","Bias","2","3.46896190219688"
"VSEDetectMisclass",23,"beta0","Bias","2","-2.70326701476811"
"naive",24,"beta0","Bias","2","4.66000935017413"
"VSE",24,"beta0","Bias","2","2.42651191720709"
"Detect",24,"beta0","Bias","2","1.86598844290169"
"VSEDetect",24,"beta0","Bias","2","3.46073259316183"
"VSEDetectMisclass",24,"beta0","Bias","2","1.75390140943821"
"naive",25,"beta0","Bias","2","-2.00870775347651"
"VSE",25,"beta0","Bias","2","2.43231272992143"
"Detect",25,"beta0","Bias","2","1.87200136475112"
"VSEDetect",25,"beta0","Bias","2","3.46656424325104"
"VSEDetectMisclass",25,"beta0","Bias","2","0.422359818028681"
"naive",26,"beta0","Bias","2","-0.866826957649673"
"VSE",26,"beta0","Bias","2","3.26674254658548"
"Detect",26,"beta0","Bias","2","-0.617614468239402"
"VSEDetect",26,"beta0","Bias","2","2.72870081593129"
"VSEDetectMisclass",26,"beta0","Bias","2","-0.821040986184477"
"naive",27,"beta0","Bias","2","-0.814700756770419"
"VSE",27,"beta0","Bias","2","2.41531991860588"
"Detect",27,"beta0","Bias","2","1.52885557386513"
"VSEDetect",27,"beta0","Bias","2","2.68834419063374"
"VSEDetectMisclass",27,"beta0","Bias","2","0.980154804797128"
"naive",28,"beta0","Bias","2","-2.69714990862599"
"VSE",28,"beta0","Bias","2","2.37186495789719"
"Detect",28,"beta0","Bias","2","-0.60603591782554"
"VSEDetect",28,"beta0","Bias","2","2.75792620697481"
"VSEDetectMisclass",28,"beta0","Bias","2","0.0892226986269257"
"naive",29,"beta0","Bias","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSE",29,"beta0","Bias","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"Detect",29,"beta0","Bias","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetect",29,"beta0","Bias","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetectMisclass",29,"beta0","Bias","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"naive",30,"beta0","Bias","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSE",30,"beta0","Bias","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"Detect",30,"beta0","Bias","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
